,emotion,pixels
11817,1.0,[167. 166. 136. ...  23.  22.  28.]
11818,3.0,[169. 134. 112. ... 186. 150. 138.]
11819,6.0,[239. 239. 239. ... 248. 248. 248.]
11820,8.0,[178. 162. 139. ...  40.  31.  58.]
11821,1.0,[223. 218. 214. ... 151. 104.  48.]
11822,5.0,[166. 179. 188. ...  55.  67.  79.]
11823,2.0,[238. 138.  26. ... 253. 251. 203.]
11824,7.0,[40. 30. 20. ... 18. 20. 19.]
11825,8.0,[ 92.  62.  60. ... 254. 253. 248.]
11826,8.0,[203. 195. 184. ... 109.  99.  89.]
11827,7.0,[252. 252. 252. ... 254. 255. 255.]
11828,5.0,[18. 16. 17. ...  1.  1.  1.]
11829,4.0,[113. 116. 121. ...  58.  31.  24.]
11830,6.0,[ 56.  33.  25. ... 254. 249. 255.]
11831,5.0,[ 31.  27.  15. ... 107.  98.  69.]
11832,4.0,[251. 255. 249. ...  99.  84.  87.]
11833,5.0,[162. 142. 154. ...  24.  25.  27.]
11834,8.0,[116. 138.  92. ... 129.   5.   3.]
11835,7.0,[42. 50. 53. ... 33. 34. 54.]
11836,1.0,[ 74.  70.  85. ... 168. 168. 160.]
11837,3.0,[ 70.  86.  99. ...  91. 107. 132.]
11838,5.0,[  1.   1.  51. ...  72.  84. 108.]
11839,5.0,[62. 44. 30. ... 20.  9.  7.]
11840,5.0,[239. 239. 239. ... 207. 207. 207.]
11841,1.0,[115. 108.  92. ...   8.  18.  27.]
11842,3.0,[ 75.  90. 113. ...  36.  22.  21.]
11843,5.0,[ 38.  15.   7. ... 164. 146. 144.]
11844,8.0,[ 60.  46.  35. ... 104.  88.  62.]
11845,5.0,[208. 140. 103. ... 162. 105.  88.]
11846,4.0,[203. 174. 156. ...  10.   9.   5.]
11847,3.0,[10. 10. 10. ... 24. 26. 25.]
11848,4.0,[105. 127.  80. ...  47.  48.  43.]
11849,6.0,[191. 198. 190. ... 153. 125. 103.]
11850,7.0,[137. 112.  92. ...  50.  52.  64.]
11851,8.0,[202. 157. 118. ...  81.  57.  71.]
11852,2.0,[ 48.  49.  51. ... 102.  76. 124.]
11853,5.0,[ 79.  87. 123. ... 119.  37. 101.]
11854,1.0,[62. 73. 79. ... 28. 33. 36.]
11855,6.0,[ 59. 103. 152. ... 239. 222. 152.]
11856,6.0,[117.  71.  48. ... 178. 211. 254.]
11857,5.0,[86. 85. 83. ... 47. 46. 44.]
11858,5.0,[16. 17. 12. ...  5.  5.  5.]
11859,2.0,[249. 240. 231. ...  23.  24.  16.]
11860,8.0,[ 60.  60.  60. ... 211. 211. 211.]
11861,4.0,[71. 57. 57. ... 42. 43. 61.]
11862,6.0,[17. 30. 38. ... 23. 34. 40.]
11863,5.0,[16.  6.  5. ... 68. 69. 73.]
11864,5.0,[102.  95.  87. ...  69.  43.  30.]
11865,5.0,[73. 51. 54. ... 68. 68. 70.]
11866,7.0,[ 96. 104.  93. ...   1.   1.   1.]
11867,6.0,[ 48.  31.  24. ... 245. 245. 245.]
11868,7.0,[57. 52. 32. ... 44. 55. 85.]
11869,1.0,[192. 199. 209. ... 186. 192. 188.]
11870,5.0,[  9.  13.  22. ... 129. 152. 142.]
11871,3.0,[251. 240. 222. ... 204. 161. 142.]
11872,6.0,[131. 121. 111. ...  31.  34.  43.]
11873,8.0,[ 76. 129. 160. ... 112. 112. 110.]
11874,2.0,[  6.   6.   4. ... 223. 173. 124.]
11875,2.0,[112.  84.  36. ... 178. 107.  65.]
11876,5.0,[ 8. 17. 50. ... 96. 84. 70.]
11877,5.0,[162. 112. 105. ... 207. 231. 215.]
11878,7.0,[44. 99. 80. ... 95. 90. 96.]
11879,2.0,[248. 251. 255. ...  48.  63.  70.]
11880,6.0,[255. 255. 255. ... 255. 255. 255.]
11881,2.0,[ 79.  99. 100. ...  34.  24.  23.]
11882,4.0,[14. 14. 14. ... 33. 37. 38.]
11883,6.0,[  4.   0.   0. ... 161. 142. 109.]
11884,2.0,[ 84.  50.  66. ... 238. 205. 172.]
11885,4.0,[216. 217. 222. ... 181. 172. 175.]
11886,4.0,[137.  69. 146. ...  90.   1. 131.]
11887,3.0,[36. 26. 25. ...  2.  2.  2.]
11888,8.0,[ 7. 22. 27. ... 13. 32. 39.]
11889,8.0,[ 70.  96.  85. ... 161. 147. 121.]
11890,6.0,[14. 38. 22. ... 12. 30. 18.]
11891,3.0,[  0.  18.   4. ... 132. 176. 221.]
11892,1.0,[119.  55.  28. ... 239. 229. 230.]
11893,8.0,[107.  89.  67. ... 226. 171. 150.]
11894,1.0,[ 0.  1.  0. ... 21. 27. 27.]
11895,2.0,[211. 213. 212. ... 116.  82.  57.]
11896,8.0,[155. 108.  66. ...  78. 109. 129.]
11897,2.0,[ 6.  6.  4. ... 26. 19.  9.]
11898,2.0,[118. 114. 103. ... 191. 184. 168.]
11899,3.0,[156. 158. 145. ... 188. 158. 106.]
11900,6.0,[216. 227. 210. ... 218. 165.  87.]
11901,3.0,[213. 210. 205. ...  35.  37.  50.]
11902,3.0,[ 31.  36.  39. ... 105. 102.  87.]
11903,4.0,[255. 255. 255. ... 199. 199. 199.]
11904,6.0,[  1.   1.   1. ... 131.  94.  75.]
11905,2.0,[ 40.  16.  12. ... 248. 199. 130.]
11906,2.0,[17. 17. 17. ... 77. 77. 77.]
11907,7.0,[221. 227. 193. ...   1.  49.  85.]
11908,1.0,[207. 207. 207. ... 193. 193. 193.]
11909,7.0,[169. 169. 169. ...  97.  97.  97.]
11910,7.0,[53. 63. 99. ...  5.  0. 20.]
11911,3.0,[161. 144. 134. ... 120.  91.  75.]
11912,2.0,[ 86.  71.  64. ... 217. 219. 234.]
11913,8.0,[48. 48. 48. ... 55. 55. 55.]
11914,7.0,[161. 149. 149. ...  46.  45.  51.]
11915,4.0,[255. 255. 255. ... 148. 115.  82.]
11916,4.0,[ 79.  54.  58. ... 229. 203. 186.]
11917,3.0,[ 79.  58. 127. ...  35.  29.  31.]
11918,4.0,[161. 133.  85. ... 255. 185. 195.]
11919,3.0,[213. 221. 223. ... 239. 241. 254.]
11920,2.0,[240. 215. 185. ... 229. 180. 121.]
11921,1.0,[ 25.  26.  18. ... 170. 177. 170.]
11922,5.0,[104.  82.  84. ...  29.   0.   3.]
11923,4.0,[138. 108.  82. ... 197. 205. 216.]
11924,6.0,[152. 154. 140. ... 168. 173. 169.]
11925,1.0,[255. 205. 166. ...  53.  36.  46.]
11926,7.0,[255. 255. 255. ... 253. 255. 252.]
11927,2.0,[158. 144.  97. ...   6.   8.   5.]
11928,6.0,[11.  2.  0. ... 20.  9. 17.]
11929,6.0,[222. 214. 201. ...  25.  25.  25.]
11930,8.0,[61. 64. 55. ... 20. 37. 44.]
11931,3.0,[237. 104.  69. ...  10.   0.   1.]
11932,7.0,[ 73.  44.  28. ... 225. 210. 191.]
11933,7.0,[115. 120. 123. ...  54.  38.  67.]
11934,1.0,[151. 255. 253. ...   0.  57.  66.]
11935,3.0,[139. 183.  46. ...   2.   0.   6.]
11936,5.0,[ 45.  44.  39. ...  43.  76. 173.]
11937,5.0,[ 74.  75.  69. ... 172. 140.  89.]
11938,5.0,[38. 28. 19. ...  7.  1.  1.]
11939,8.0,[201. 201. 191. ...  18.  19.  14.]
11940,2.0,[53. 33. 24. ... 40. 45. 41.]
11941,2.0,[155. 133. 119. ...  53.  54.  20.]
11942,2.0,[112. 131. 127. ... 164. 174. 165.]
11943,2.0,[252. 254. 253. ... 195. 206. 224.]
11944,4.0,[ 50.  77. 104. ... 162. 162. 164.]
11945,4.0,[177. 181. 164. ... 148. 160.  48.]
11946,6.0,[ 1. 13.  9. ...  1.  9. 12.]
11947,3.0,[255. 240. 255. ...  17.   9.  24.]
11948,3.0,[ 67.  57.  32. ... 255. 254. 250.]
11949,3.0,[226. 226. 226. ...  43.  41.  52.]
11950,2.0,[ 7.  5.  6. ... 81. 64. 54.]
11951,8.0,[231. 241. 253. ...  30.  31.  33.]
11952,3.0,[173. 172. 152. ... 239. 238. 207.]
11953,7.0,[ 48.  55.  65. ... 101.  71.  61.]
11954,8.0,[247.  18. 135. ... 195. 182. 166.]
11955,8.0,[147. 145. 159. ... 254. 254. 255.]
11956,4.0,[ 23.  18.  14. ... 235. 234. 232.]
11957,4.0,[255. 255. 255. ... 179. 168. 172.]
11958,2.0,[147. 114. 109. ... 182. 173. 174.]
11959,6.0,[ 9.  9.  7. ... 16. 22. 22.]
11960,3.0,[20. 12. 33. ... 16. 10. 22.]
11961,6.0,[ 8.  8.  8. ... 13. 13. 13.]
11962,7.0,[ 6. 12. 48. ...  6.  5. 10.]
11963,4.0,[175. 188. 160. ...  59.  61.  48.]
11964,2.0,[112.  84.  80. ...  33.  30.  37.]
11965,8.0,[150. 143. 174. ... 212. 163. 122.]
11966,2.0,[ 75.  88.  96. ...  79.  96. 103.]
11967,2.0,[78. 71. 78. ... 82. 23. 29.]
11968,1.0,[140. 100. 100. ...  23.  22.  38.]
11969,7.0,[36. 25. 23. ... 28. 18. 16.]
11970,5.0,[103. 184. 152. ...  19.  23.  26.]
11971,2.0,[255. 255. 255. ...  57.  92. 111.]
11972,5.0,[255. 255. 255. ...  96.  98.  97.]
11973,8.0,[255. 255. 255. ... 255. 255. 255.]
11974,3.0,[255. 253. 223. ...   4.   0.   0.]
11975,3.0,[ 11.  18.  26. ... 150. 153. 168.]
11976,4.0,[105. 128. 112. ...   3.   6.  11.]
11977,2.0,[ 29.  28.  26. ... 174.  26.  38.]
11978,3.0,[154.  57.  24. ... 137.  45.  22.]
11979,3.0,[ 39.  33.  35. ... 195. 160. 156.]
11980,1.0,[233. 240. 248. ... 237. 244. 252.]
11981,5.0,[254. 255. 239. ... 255. 253. 210.]
11982,6.0,[14. 14. 14. ... 21. 21. 21.]
11983,6.0,[252. 254. 253. ... 129. 167. 178.]
11984,5.0,[56. 49. 30. ... 32.  2.  0.]
11985,8.0,[214.  13.  47. ... 138. 136. 139.]
11986,6.0,[ 98.  83.  78. ... 144. 128. 113.]
11987,4.0,[  5.   5.   3. ... 133.  82.  55.]
11988,3.0,[112. 169. 178. ...  16.  27.  23.]
11989,4.0,[180. 180. 182. ... 169. 158. 156.]
11990,2.0,[ 50.  71. 102. ...  38.  29.  24.]
11991,7.0,[255.  68.   1. ...  26.  15.  11.]
11992,5.0,[  7.   7.   7. ... 122.  84.  65.]
11993,7.0,[ 23.  24.  19. ... 254. 255. 250.]
11994,5.0,[ 9. 15. 15. ...  0. 55. 23.]
11995,1.0,[150. 169. 212. ...  47.  42.  49.]
11996,5.0,[156. 166. 158. ...  63.  69.  81.]
11997,4.0,[ 87. 210. 228. ... 151. 110.  64.]
11998,8.0,[121. 116. 120. ...  60.  60.  60.]
11999,1.0,[195. 191. 190. ... 198. 198. 198.]
12000,6.0,[125. 136. 120. ... 118. 128. 117.]
12001,6.0,[60. 43. 13. ...  8.  7.  3.]
12002,1.0,[ 58.  58.  58. ... 245. 245. 245.]
12003,2.0,[ 23.  16.   6. ... 106. 138. 176.]
12004,5.0,[207.  38.  41. ...   9.  10.   2.]
12005,2.0,[  9.   5.   6. ... 238. 232. 232.]
12006,5.0,[227. 227. 227. ...   2.   2.   2.]
12007,3.0,[148. 132. 116. ...   0.   0.   0.]
12008,4.0,[128. 175.  79. ... 174. 178. 163.]
12009,3.0,[13.  8.  5. ... 15.  3.  3.]
12010,1.0,[219. 185. 160. ...  45.  44.  58.]
12011,7.0,[0. 0. 0. ... 0. 0. 0.]
12012,3.0,[113.  99. 160. ... 120.  73.  55.]
12013,6.0,[29. 24. 18. ... 24. 26. 23.]
12014,5.0,[21. 19. 20. ... 83. 15. 36.]
12015,7.0,[156. 117.  58. ...  50.  45.  41.]
12016,4.0,[187. 197. 189. ... 219. 227. 229.]
12017,8.0,[215. 249. 255. ... 203. 199. 135.]
12018,7.0,[41. 37. 25. ... 44. 41. 22.]
12019,4.0,[  6.   6.   8. ... 177. 187. 179.]
12020,3.0,[ 85.  65.  54. ...  96. 107. 153.]
12021,1.0,[1. 1. 1. ... 1. 1. 1.]
12022,3.0,[42. 46. 32. ...  0.  5.  9.]
12023,1.0,[90. 90. 90. ... 57. 57. 57.]
12024,8.0,[ 29.   5.   1. ... 168. 184. 207.]
12025,5.0,[31. 31. 29. ... 48. 38. 28.]
12026,3.0,[76. 79. 72. ... 97. 86. 32.]
12027,2.0,[139. 162. 142. ... 183. 136. 108.]
12028,3.0,[10. 12.  9. ... 68. 40. 19.]
12029,1.0,[203. 145. 121. ...  20.   5.   2.]
12030,2.0,[247. 231. 234. ... 229. 149.  96.]
12031,5.0,[40. 22. 20. ... 18.  3.  0.]
12032,8.0,[41. 38. 31. ... 46. 44. 45.]
12033,2.0,[ 45.  25.  14. ... 101.  67.  30.]
12034,3.0,[255. 255. 255. ... 200. 197. 208.]
12035,4.0,[56. 46. 34. ... 27. 22. 19.]
12036,7.0,[108.  99.  82. ...  30.  36.  22.]
12037,3.0,[126. 161. 215. ... 145. 178. 223.]
12038,5.0,[ 77.  50.  29. ... 211. 242. 245.]
12039,6.0,[218. 152.  66. ... 125.  90.  60.]
12040,5.0,[35.  6.  8. ... 65. 47. 37.]
12041,5.0,[169. 159. 149. ...  72.  56.  56.]
12042,4.0,[127. 126. 106. ... 229. 184. 161.]
12043,3.0,[17. 17. 17. ... 36. 36. 36.]
12044,8.0,[70. 48. 35. ... 74. 47. 40.]
12045,3.0,[ 57.  40.  12. ... 104. 158. 186.]
12046,6.0,[82. 80. 93. ... 23. 33. 35.]
12047,4.0,[246. 248. 247. ... 222. 167. 162.]
12048,7.0,[ 20.  20.  20. ... 180. 181. 163.]
12049,8.0,[100. 118. 122. ...   0.   0.   0.]
12050,1.0,[237. 237. 237. ...  84.  86.  83.]
12051,3.0,[255. 255. 255. ...  62.  63.  58.]
12052,2.0,[ 73.  67.  79. ... 112.  94.  94.]
12053,5.0,[76. 76. 74. ...  0.  0.  0.]
12054,5.0,[ 7.  6.  2. ... 59. 41. 17.]
12055,4.0,[177. 168. 101. ... 161. 113. 103.]
12056,7.0,[255. 255. 255. ... 120.  74.  41.]
12057,7.0,[232. 255. 230. ...   2.   2.   2.]
12058,8.0,[ 18. 168. 219. ...  49. 103. 173.]
12059,5.0,[116.  87.  69. ... 161. 118. 101.]
12060,8.0,[129. 126. 119. ...  13.  14.  18.]
12061,5.0,[123. 126. 133. ... 207. 212. 206.]
12062,8.0,[ 83.  79.  76. ... 177. 162. 155.]
12063,4.0,[ 1.  6.  0. ... 19. 25. 39.]
12064,7.0,[ 21.  25.  26. ...  39. 152. 210.]
12065,2.0,[81. 48. 29. ... 14. 12. 13.]
12066,5.0,[27. 18. 13. ... 18.  9.  4.]
12067,3.0,[215. 212. 207. ...  12.   0.   0.]
12068,8.0,[45. 45. 45. ... 43. 49. 65.]
12069,7.0,[ 37.  32.  28. ... 183. 183. 183.]
12070,7.0,[129.  97.  86. ...  85.  52.  33.]
12071,3.0,[ 0.  0.  0. ... 12.  6.  6.]
12072,2.0,[41. 78. 96. ... 27. 27. 27.]
12073,3.0,[136.  96.  70. ...  26.  16.   7.]
12074,3.0,[147. 131.  95. ... 157. 123.  85.]
12075,3.0,[134.  86.  24. ...  33.  28.  24.]
12076,4.0,[ 76.  75.  80. ... 167. 170. 127.]
12077,5.0,[ 0.  0.  5. ...  2. 10. 29.]
12078,7.0,[103.  93.  94. ... 234. 212. 199.]
12079,4.0,[142.  99.  48. ...  43.  27.  12.]
12080,4.0,[  2.   0.   1. ... 116. 136. 147.]
12081,3.0,[171. 172. 177. ...  59.  46.  53.]
12082,7.0,[36. 29. 23. ... 70. 74. 86.]
12083,8.0,[232. 232. 232. ... 240. 240. 240.]
12084,6.0,[136. 118.  94. ... 250. 251. 246.]
12085,5.0,[ 21.  24.  29. ... 237. 224. 207.]
12086,7.0,[133. 104.  90. ... 157. 102.  97.]
12087,2.0,[ 0.  0.  0. ... 50. 26. 40.]
12088,3.0,[181. 172.  97. ...  40.  24.   9.]
12089,6.0,[69. 90. 95. ... 62. 57. 61.]
12090,6.0,[ 88.  71.  45. ... 159. 161. 156.]
12091,7.0,[99. 87. 61. ... 87. 31. 18.]
12092,5.0,[173. 159. 132. ... 104.  38.  39.]
12093,1.0,[ 11.   1.   0. ... 100.  80.  81.]
12094,3.0,[130.  96.  59. ... 106.  74.  35.]
12095,2.0,[203. 205. 191. ...  57.  70.  87.]
12096,5.0,[149. 130.  61. ... 193. 203. 213.]
12097,7.0,[ 13.  14.   9. ...  47.  68. 125.]
12098,8.0,[242. 223. 209. ... 206. 160. 136.]
12099,5.0,[35. 33. 20. ... 31. 31. 33.]
12100,5.0,[181. 183. 180. ... 102. 115. 194.]
12101,7.0,[  1.   2.   0. ... 171. 118. 110.]
12102,7.0,[247. 247. 247. ...  12.  12.  12.]
12103,8.0,[49. 46. 41. ... 53. 42. 48.]
12104,4.0,[42. 43. 37. ... 70. 81. 87.]
12105,8.0,[127. 146. 251. ...   0.   0.   2.]
12106,4.0,[116.  71.  66. ... 133.  90.  47.]
12107,2.0,[138.  61.   7. ...  99.  83.  86.]
12108,6.0,[247. 219. 172. ...  36.  84.  96.]
12109,8.0,[177. 167. 131. ...  63.  63.  39.]
12110,8.0,[241. 255. 255. ...  26.  15.  11.]
12111,8.0,[90. 90. 98. ... 10.  0.  3.]
12112,5.0,[ 40.  44.  29. ... 131. 154. 134.]
12113,6.0,[250. 251. 255. ...  36.  45.  42.]
12114,2.0,[255. 255. 255. ...  63.  48.  45.]
12115,7.0,[  0.   0.   0. ... 105.  39.  23.]
12116,5.0,[255. 255. 255. ...  16.  13.   8.]
12117,1.0,[ 69.  55.  26. ... 105.  81.  57.]
12118,6.0,[10. 11. 15. ... 28. 28. 38.]
12119,2.0,[172. 141. 113. ...  86.   6.  35.]
12120,5.0,[ 10.  10.   8. ... 189. 221. 154.]
12121,6.0,[ 47.  70. 112. ... 206. 192. 205.]
12122,1.0,[162. 130.  89. ...  96.  69.  48.]
12123,1.0,[226. 223. 218. ... 135. 128. 135.]
12124,8.0,[20. 16. 53. ...  8.  9. 14.]
12125,6.0,[215. 141.  94. ... 103.  25.  21.]
12126,8.0,[184. 255. 223. ...  74.  33.  77.]
12127,4.0,[252. 252. 252. ... 247. 247. 247.]
12128,2.0,[186. 180. 192. ... 183. 176. 184.]
12129,6.0,[190. 191. 186. ... 152. 107. 102.]
12130,2.0,[ 88. 132. 169. ... 203. 208. 211.]
12131,8.0,[129. 142. 133. ... 115.  70.  49.]
12132,6.0,[ 16.   9.   3. ... 207. 193. 167.]
12133,8.0,[ 20.  31.  33. ... 198. 126. 114.]
12134,4.0,[247. 250. 233. ... 242. 165. 137.]
12135,7.0,[  0.   0.   0. ... 226. 150. 224.]
12136,4.0,[101.  80.  61. ...   1.   9.   0.]
12137,5.0,[111. 138. 168. ...  32.  32.  34.]
12138,8.0,[218. 236. 240. ... 230. 249. 255.]
12139,4.0,[ 53.  49.  38. ... 217. 219. 206.]
12140,2.0,[72. 72. 70. ... 48. 50. 49.]
12141,1.0,[ 23.  25.  20. ... 119. 122. 113.]
12142,2.0,[234. 231. 224. ... 236. 236. 236.]
12143,4.0,[ 62.  17.   0. ... 238.  26.  41.]
12144,3.0,[121. 133. 121. ... 169. 148. 129.]
12145,4.0,[253. 235. 225. ...  62.  35.  24.]
12146,2.0,[181. 165. 149. ... 188. 179. 174.]
12147,4.0,[151. 127. 101. ...  37.   0.  12.]
12148,5.0,[218. 218. 218. ... 198. 197. 195.]
12149,8.0,[ 16.  15.  57. ... 254. 243. 153.]
12150,1.0,[131. 106. 112. ... 103. 100. 117.]
12151,2.0,[236. 200. 174. ... 190. 164. 107.]
12152,6.0,[255. 255. 255. ... 242. 213. 207.]
12153,2.0,[200. 157. 185. ... 176.  20. 104.]
12154,2.0,[223. 228. 232. ... 189. 179. 177.]
12155,5.0,[ 42.  38.  37. ... 168. 152. 137.]
12156,8.0,[35. 31. 28. ... 28. 24. 23.]
12157,4.0,[27. 22. 52. ... 11. 10.  6.]
12158,8.0,[36. 37. 41. ... 33. 34. 38.]
12159,4.0,[22. 43. 96. ... 74. 76. 73.]
12160,7.0,[250. 252. 249. ... 255. 255. 255.]
12161,4.0,[236. 236. 236. ...   3.   2.   0.]
12162,2.0,[202. 149. 159. ...  16. 114. 185.]
12163,4.0,[58. 28. 18. ... 83. 53. 45.]
12164,6.0,[ 49.  57.  36. ... 100.  73.  56.]
12165,2.0,[24.  9. 12. ...  0.  0.  0.]
12166,5.0,[22. 48. 61. ... 32. 56. 60.]
12167,6.0,[201. 170. 141. ... 143. 124. 107.]
12168,3.0,[61. 61. 61. ... 64. 64. 64.]
12169,1.0,[ 29.  28.  34. ... 218. 206. 216.]
12170,2.0,[149.  93.  34. ... 165. 122.  77.]
12171,7.0,[ 82. 129. 147. ...  34.  41.  49.]
12172,3.0,[ 81. 117. 131. ...   1.   1.   0.]
12173,1.0,[ 16.  22.  18. ... 166. 131. 101.]
12174,4.0,[  0.   4.   7. ... 244. 244. 236.]
12175,2.0,[158. 159. 163. ... 251. 131. 156.]
12176,7.0,[27. 12. 17. ... 38. 17. 14.]
12177,4.0,[ 35.  16.   0. ... 250. 185. 205.]
12178,7.0,[50. 53. 62. ... 42. 52. 64.]
12179,4.0,[207. 207. 199. ... 143. 118. 122.]
12180,5.0,[228. 234. 224. ... 171.  51.  37.]
12181,3.0,[ 35.  28.  22. ... 124.  95. 123.]
12182,8.0,[ 57.  30.   1. ... 160.  83.   3.]
12183,1.0,[225. 232. 242. ... 189. 205. 228.]
12184,2.0,[246. 230. 207. ... 179. 146.  92.]
12185,8.0,[25. 41. 54. ...  2.  1.  6.]
12186,4.0,[163. 111.  87. ...  58.  29.  21.]
12187,7.0,[179. 120.  88. ...  85.  88. 107.]
12188,2.0,[6. 6. 6. ... 5. 5. 5.]
12189,1.0,[ 84.  96.  94. ... 211. 216. 209.]
12190,4.0,[215. 157. 133. ... 186. 116. 116.]
12191,2.0,[  5.   4.   2. ... 235. 235. 233.]
12192,3.0,[ 14.  14.  14. ... 167. 115. 101.]
12193,2.0,[ 62.  49.  43. ... 107.  60.  68.]
12194,6.0,[169. 136.  93. ...  42.  39.  34.]
12195,4.0,[243. 239. 238. ... 244. 240. 237.]
12196,6.0,[255. 255. 255. ...  79.  66.  57.]
12197,7.0,[ 16.  29.  64. ... 128. 174. 236.]
12198,2.0,[83. 77. 65. ... 28. 27. 32.]
12199,2.0,[ 45.  45.  45. ... 152. 152. 162.]
12200,3.0,[150.  94.  45. ... 140. 140. 204.]
12201,2.0,[40. 11.  0. ... 87. 37. 10.]
12202,7.0,[220. 228. 230. ...  59.  61.  56.]
12203,1.0,[221. 208. 200. ... 235. 221. 212.]
12204,4.0,[252. 249. 230. ...  20.  10.   1.]
12205,7.0,[46. 44. 45. ... 31. 27. 26.]
12206,6.0,[ 76. 159. 201. ... 186. 154. 141.]
12207,2.0,[213. 188. 207. ...  19.  17.  18.]
12208,5.0,[104. 130. 143. ... 100.  99.  94.]
12209,4.0,[ 48.  58.  47. ... 143. 188. 219.]
12210,2.0,[ 23.  36.  45. ... 204. 127. 169.]
12211,4.0,[14. 18. 19. ... 26. 21. 25.]
12212,8.0,[45. 42. 63. ... 79. 25. 25.]
12213,1.0,[49. 39. 37. ... 47. 37. 35.]
12214,7.0,[177. 139.  94. ... 129.  94.  62.]
12215,2.0,[222. 222. 222. ... 239. 240. 244.]
12216,7.0,[ 40.  38.  43. ... 124.  92.  81.]
12217,5.0,[255. 255. 255. ...   5.   5.   5.]
12218,8.0,[173. 196. 227. ... 254. 235. 177.]
12219,2.0,[40. 39. 57. ... 12. 15. 24.]
12220,6.0,[120. 101.  87. ... 101. 108. 134.]
12221,1.0,[233. 145.  45. ... 251. 162.  60.]
12222,5.0,[186. 124.  51. ...  27.  14.  24.]
12223,6.0,[ 61.  32.  28. ... 140.  83.  72.]
12224,6.0,[ 94.  92.  79. ... 157. 133.  89.]
12225,5.0,[70. 84. 71. ... 24.  5.  7.]
12226,8.0,[252. 252. 252. ... 146. 133. 114.]
12227,2.0,[ 85.  87. 100. ...  77.  24.  30.]
12228,4.0,[ 66.  62.  25. ... 101. 115.   2.]
12229,4.0,[157.  51.  12. ...  26.  32.  32.]
12230,3.0,[55. 73. 57. ... 67. 73. 45.]
12231,1.0,[ 43.  41.  42. ... 135.  99.  83.]
12232,8.0,[40. 50. 62. ... 45. 40. 37.]
12233,4.0,[ 18.  16.  21. ... 109.  81.  70.]
12234,5.0,[ 66. 182. 181. ... 244.  47.  75.]
12235,2.0,[230. 226. 214. ...  23.  19.  20.]
12236,7.0,[209. 223. 249. ...   9.   7.  10.]
12237,7.0,[  0.   0.   4. ... 146. 151.  49.]
12238,8.0,[3. 3. 1. ... 8. 8. 6.]
12239,4.0,[255. 253. 252. ... 254. 254. 254.]
12240,1.0,[206. 179. 172. ...  38.  42.  27.]
12241,1.0,[44. 44. 42. ... 25. 26. 21.]
12242,2.0,[170. 152. 130. ... 198. 158. 122.]
12243,2.0,[205. 190. 151. ... 247. 240. 222.]
12244,5.0,[53. 55. 54. ...  4. 10.  6.]
12245,6.0,[23. 24. 18. ... 53. 44. 27.]
12246,6.0,[ 47.  49.  48. ... 196. 133.  79.]
12247,6.0,[237. 235. 238. ... 236. 237. 241.]
12248,4.0,[253. 254. 249. ... 253. 254. 249.]
12249,6.0,[255. 248. 242. ... 251. 251. 251.]
12250,8.0,[255. 255. 255. ... 202. 167. 137.]
12251,2.0,[175. 170. 167. ... 154. 141. 132.]
12252,5.0,[ 67.  73.  63. ... 252. 251. 255.]
12253,4.0,[100.  95.  92. ...  70.  57.  49.]
12254,1.0,[ 99.  99.  99. ... 129. 119. 117.]
12255,5.0,[194. 196.  99. ...  10.  12.  33.]
12256,2.0,[227. 222. 226. ... 202. 200. 205.]
12257,4.0,[10.  4.  4. ... 91. 82. 77.]
12258,6.0,[38. 48. 57. ... 74. 59. 52.]
12259,7.0,[123. 113. 103. ... 153. 127. 110.]
12260,4.0,[237.  27.  36. ...  54.  69.  88.]
12261,8.0,[ 39.  32.  16. ... 125. 125. 117.]
12262,4.0,[186. 150. 138. ... 232. 222. 153.]
12263,8.0,[127. 126.  95. ...  38.  29.  24.]
12264,2.0,[ 75.  79. 108. ...  61.  67.  81.]
12265,5.0,[31. 31. 31. ... 54. 54. 54.]
12266,7.0,[40. 31. 22. ... 31. 23. 12.]
12267,2.0,[140. 105.  73. ... 225. 183. 125.]
12268,5.0,[47. 32. 61. ... 35. 20. 41.]
12269,8.0,[244. 252. 254. ...  44.  66. 142.]
12270,3.0,[222. 228. 218. ... 109. 124. 145.]
12271,7.0,[ 33.  26.  16. ...  64. 165. 219.]
12272,4.0,[171. 133. 154. ... 158. 145. 152.]
12273,7.0,[175. 166. 157. ... 203. 215. 195.]
12274,2.0,[227. 114. 110. ... 178.  80.  95.]
12275,4.0,[215. 209. 211. ...  30.  31.  33.]
12276,7.0,[141. 137. 136. ... 212. 207. 201.]
12277,1.0,[ 0. 10.  2. ...  4.  4.  4.]
12278,6.0,[167. 223. 100. ... 111. 182.  60.]
12279,6.0,[ 27.  22.  16. ... 203. 190. 181.]
12280,1.0,[103.  96.  80. ...  60.  63.  56.]
12281,7.0,[165. 165. 165. ... 122. 122. 122.]
12282,4.0,[131. 172. 176. ...  40.  81.  83.]
12283,3.0,[ 2.  1.  0. ... 10. 11. 16.]
12284,8.0,[87. 61. 44. ...  7.  7.  5.]
12285,4.0,[ 63.  59.  82. ... 185. 158. 141.]
12286,2.0,[231. 222. 207. ... 205. 198. 182.]
12287,2.0,[246. 254. 255. ... 123.  85.  72.]
12288,2.0,[104.  90.  79. ... 199. 199. 199.]
12289,6.0,[193. 195. 192. ... 239. 243. 246.]
